id,source,target,label,layer,weight,comment
drone_38_drone_16,drone_38,drone_16,link,connection,1,connection
drone_18_drone_17,drone_18,drone_17,link,connection,1,connection
drone_18_drone_22,drone_18,drone_22,link,connection,1,connection
drone_23_drone_25,drone_23,drone_25,link,connection,1,connection
drone_13_drone_24,drone_13,drone_24,link,connection,1,connection
drone_26_drone_21,drone_26,drone_21,link,connection,1,connection
drone_06_drone_03,drone_06,drone_03,link,connection,1,connection
drone_17_drone_24,drone_17,drone_24,link,connection,1,connection
drone_26_drone_13,drone_26,drone_13,link,connection,1,connection
drone_40_drone_38,drone_40,drone_38,link,connection,1,connection
drone_26_drone_32,drone_26,drone_32,link,connection,1,connection
drone_05_drone_28,drone_05,drone_28,link,connection,1,connection
drone_09_drone_10,drone_09,drone_10,link,connection,1,connection
drone_37_drone_12,drone_37,drone_12,link,connection,1,connection
drone_15_drone_23,drone_15,drone_23,link,connection,1,connection
drone_35_drone_30,drone_35,drone_30,link,connection,1,connection
drone_06_drone_35,drone_06,drone_35,link,connection,1,connection
drone_15_drone_07,drone_15,drone_07,link,connection,1,connection
drone_40_drone_19,drone_40,drone_19,link,connection,1,connection
drone_06_drone_02,drone_06,drone_02,link,connection,1,connection
drone_32_drone_02,drone_32,drone_02,link,connection,1,connection
drone_31_drone_33,drone_31,drone_33,link,connection,1,connection
drone_29_drone_23,drone_29,drone_23,link,connection,1,connection
drone_36_drone_19,drone_36,drone_19,link,connection,1,connection
drone_03_drone_09,drone_03,drone_09,link,connection,1,connection
drone_29_drone_26,drone_29,drone_26,link,connection,1,connection
drone_17_drone_10,drone_17,drone_10,link,connection,1,connection
drone_40_drone_19,drone_40,drone_19,link,connection,1,connection
drone_26_drone_13,drone_26,drone_13,link,connection,1,connection
drone_14_drone_39,drone_14,drone_39,link,connection,1,connection
drone_05_drone_30,drone_05,drone_30,link,connection,1,connection
drone_38_drone_36,drone_38,drone_36,link,connection,1,connection
drone_26_drone_21,drone_26,drone_21,link,connection,1,connection
drone_09_drone_02,drone_09,drone_02,link,connection,1,connection
drone_27_drone_06,drone_27,drone_06,link,connection,1,connection
drone_31_drone_12,drone_31,drone_12,link,connection,1,connection
drone_25_drone_24,drone_25,drone_24,link,connection,1,connection
drone_30_drone_25,drone_30,drone_25,link,connection,1,connection
drone_04_drone_35,drone_04,drone_35,link,connection,1,connection
drone_05_drone_17,drone_05,drone_17,link,connection,1,connection
drone_32_drone_33,drone_32,drone_33,link,connection,1,connection
drone_19_drone_15,drone_19,drone_15,link,connection,1,connection
drone_28_drone_40,drone_28,drone_40,link,connection,1,connection
drone_23_drone_15,drone_23,drone_15,link,connection,1,connection
drone_10_drone_38,drone_10,drone_38,link,connection,1,connection
drone_18_drone_21,drone_18,drone_21,link,connection,1,connection
drone_37_drone_02,drone_37,drone_02,link,connection,1,connection
drone_40_drone_33,drone_40,drone_33,link,connection,1,connection
drone_03_drone_31,drone_03,drone_31,link,connection,1,connection
drone_11_drone_09,drone_11,drone_09,link,connection,1,connection
