id,label,layer,is_partition,belongs_to,weight,comment
root,Root,global,true,,1,
mgmt_a,Management A,mgmt,true,root,1,
mgmt_a_a,Management A/A,mgmt,true,mgmt_a,1,
mgmt_a_b,Management A/B,mgmt,true,mgmt_a,1,
mgmt_b,Management B,mgmt,true,root,1,
mgmt_b_a,Management B/A,mgmt,true,mgmt_b,1,
mgmt_b_b,Management B/B,mgmt,true,mgmt_b,1,
drone_01,Drone,drone,no,mgmt_a,1,
drone_02,Drone,drone,no,mgmt_a_a,1,
drone_03,Drone,drone,no,mgmt_a_b,1,
drone_04,Drone,drone,no,mgmt_a_b,1,
drone_05,Drone,drone,no,mgmt_a_b,1,
drone_06,Drone,drone,no,mgmt_b_a,1,
drone_07,Drone,drone,no,mgmt_b_a,1,
drone_08,Drone,drone,no,mgmt_b_a,1,
drone_09,Drone,drone,no,mgmt_b_a,1,
drone_10,Drone,drone,no,mgmt_b_a,1,
drone_11,Drone,drone,no,mgmt_b_a,1,
drone_12,Drone,drone,no,mgmt_b_a,1,
drone_13,Drone,drone,no,mgmt_b_b,1,
drone_14,Drone,drone,no,mgmt_b_b,1,
drone_15,Drone,drone,no,mgmt_b_b,1,
drone_16,Drone,drone,no,mgmt_b_b,1,
drone_17,Drone,drone,no,mgmt_b_b,1,
drone_18,Drone,drone,no,mgmt_b_b,1,
drone_19,Drone,drone,no,mgmt_a,1,
drone_20,Drone,drone,no,mgmt_a,1,
drone_21,Drone,drone,no,mgmt_a,1,
drone_22,Drone,drone,no,mgmt_a,1,
drone_23,Drone,drone,no,mgmt_a,1,
drone_24,Drone,drone,no,mgmt_a,1,
drone_25,Drone,drone,no,mgmt_b,1,
drone_26,Drone,drone,no,mgmt_b,1,
drone_27,Drone,drone,no,mgmt_b,1,
drone_28,Drone,drone,no,mgmt_b,1,
drone_29,Drone,drone,no,mgmt_b,1,
drone_30,Drone,drone,no,mgmt_b,1,
drone_31,Drone,drone,no,mgmt_b,1,
